gene,SI_P1,SI_P3,SI_P4,SI_P5,SI_P8,SI_N2,SI_N3,SI_N4,SI_N5,SI_N7,SI_N8
0610009B22Rik,13.61,9.26,9.41,22.65,21.37,6.45,4.35,8.48,6.33,1.05,0
0610010K14Rik,42.04,34.32,17.07,28.74,67.31,30.6,66.61,47.14,65.6,57.78,54.05
0610012G03Rik,5.76,6.72,7.13,11.56,4.1,6.68,15.26,8.96,7.17,18.55,14.57
0610030E20Rik,24.75,16.78,21.99,25.39,21.97,19.8,21.25,19.15,12.26,19.39,16.29
1110004F10Rik,57.84,154.67,165,106.23,91.94,58.29,91.51,70.96,54.19,57.4,85.76
1110008P14Rik,66.84,51.97,53.17,108.71,63.11,46.99,88.89,73.38,92.32,83.39,84.14
1110012L19Rik,13.73,13.43,12.95,13.53,11.75,5.4,9.19,16.13,7.21,16.38,10.76
1110038F14Rik,22.21,23.96,22.67,28.8,21.08,28.2,17.31,27.15,24.24,29.16,30.1
1110051M20Rik,3.97,3.52,2.16,2.9,28.86,12.33,9.35,5.32,14.62,6.36,20.02
1110059E24Rik,9.2,4.05,10.42,9.7,9.06,1.09,5.06,4.58,2.19,6.91,8.09
1110059G10Rik,27.5,22.53,17.48,16.08,9.48,8.76,8.21,20.79,11.75,12.34,17.95
1500011B03Rik,16.99,6.14,22.18,13.72,11.78,16.42,14.02,22.55,19.69,20.43,15.89
1600012H06Rik,29.01,31.28,39.56,25.68,36.35,35.68,31.17,27.14,18.7,23.37,24.55
1600014C10Rik,77.71,37.94,71.79,66.17,97.46,44.79,38.58,77.03,36.64,65.36,69.52
1700017B05Rik,51.52,56.95,69.37,44.86,34.16,144.85,86.27,108.65,62.4,82.25,84.17
1700037H04Rik,11.71,10.07,6.38,6.24,13.89,7.89,0,1.93,9.85,13.63,15.09
1700123O20Rik,35.78,40.5,40.77,45.39,47.92,27,34.03,38.28,21.69,26.22,17.59
1810009A15Rik,51.96,92.14,43.83,49.77,55.47,31.3,45.5,59.3,52.45,71.83,72.71
1810013L24Rik,41.83,37.59,44.84,50.8,31.56,40.54,45.07,32.94,45.72,54.11,41.53
