gene,BM_1,BM_2,BM_3,Blood_1,Blood_2,Blood_3,Blood_4,SP_1,SP_2,SP_3,SP_4,Lung_1,Lung_2,Lung_3,Skin_1,Skin_2,Skin_4,Colon_1,Colon_2,Colon_4,SI_1,SI_2,SI_3,SI_4
0610009B22Rik,23.7,25.12,35.04,17.1,9.08,11.8,13.89,8.83,12.05,14.75,26.99,0,1.09,1.19,5.87,15.5,25.31,0,0.89,11.34,18.69,5.41,15.22,6.39
0610010F05Rik,2.81,2.39,1.44,3.41,4.44,0.4,4.89,1.3,4.34,1.12,3.09,2.65,4.6,0.86,3.59,3.09,5.15,0.49,2.44,4.79,1.23,1.24,0.75,0.42
0610010K14Rik,67.25,51.86,49.88,23.35,60.47,50.06,34.2,51.69,59.27,40.13,36.15,48.64,43.82,40.69,62.73,82.01,58.75,67.29,66.06,77.66,73.07,64.21,43.12,54.15
0610012G03Rik,29.87,34.38,32.43,33.31,36.95,37.51,31.73,44.19,31.75,45.01,27.84,15.54,13.47,32.4,23.21,8.79,16.48,9.76,11.67,16.59,7.22,12.03,9.27,11.98
0610030E20Rik,28.28,28.85,22.97,29.27,24.49,21.51,24.93,34.53,34,34.38,32.85,14.3,28.12,31.86,27.77,27.97,22.19,18.21,14.42,10.37,19.88,19.07,15.76,13.8
1110004F10Rik,57.53,79.57,88.78,63.39,50.19,55.73,44.48,50.62,64.85,58.18,64.99,47.7,43.29,33.78,124.15,120,85.65,87.93,108.98,78.07,125.02,100.24,110.43,117.61
1110008P14Rik,86.12,90.68,85.02,69.81,76.28,52.35,69.19,76.27,59.46,55.71,43.93,114.79,47.03,88.48,87.58,60.25,68.24,91.28,79.29,75.07,68.31,95.28,57.08,106.48
1110012L19Rik,22.95,33.63,20.38,37.55,7.98,26.13,30.48,40.39,28.28,35.1,17.11,5.26,0,0.39,12.4,19.19,11.22,5.78,12.17,14.11,6.79,15.65,14.72,18.4
1110032A03Rik,4.95,9.6,9.1,14.54,11.27,11.18,4.5,5.47,6.5,8.64,12.88,0.45,8.75,3.08,1.89,0.2,3.59,4.27,0.53,3.3,13.96,1.29,1.68,5.37
1110038F14Rik,33.9,33.81,30.41,30.71,29.7,38.68,32.4,29.44,28.61,35.38,30.3,5.67,8.93,18.61,23.77,40.44,40.22,15.34,24.37,28.89,20.86,20.63,23.33,12.99
1110051M20Rik,9.08,12.25,17.7,2.48,4.81,9.91,6.58,10.16,4.9,1.5,5.08,20.19,1.42,20.24,5.79,1.45,3.14,8.31,7.12,5.71,5.19,4.58,7.3,5.64
1110059E24Rik,11.51,21.07,22.6,10.37,15.19,31.55,10.87,27.19,5.1,8.24,14.27,8.56,3.27,2.16,17.61,16.71,22.95,3.07,3.16,4.32,5.16,2.79,5.92,9.74
1110059G10Rik,18.12,25.98,28.39,17.67,13.36,31.61,18.34,13.23,9.47,10.39,27.01,9.71,15.33,21.07,19.49,13.84,3.35,5.21,12.42,22.59,6.36,8.33,10.63,30.87
1110065P20Rik,1.02,1.68,1.59,3.66,5.99,0,3.24,13.01,10.19,11.72,11.82,10.86,16.94,2.24,18.72,2.64,5.3,2.24,5.46,7.9,0,0,7.67,3.13
1190007I07Rik,17.08,17.97,27.55,2.84,11.22,4.71,15.95,8.69,20.2,4.15,8.84,4.78,0,3.63,0,0.95,3.4,2.49,5.5,4.46,7.3,13.37,12.8,9.9
1500011B03Rik,33.27,40.58,45.63,46.26,51.51,50.57,65.53,58.68,39.53,57.47,36.73,42.88,34.13,30.88,10.59,19.26,12.72,7.76,26.07,12.52,10.54,8.97,15.9,23.72
1600012H06Rik,20.27,26.66,21.9,26.37,25.85,18.28,38.65,27.78,21.81,35.65,45.03,21.73,21.71,25.55,38.94,30.24,15.76,35.32,42.71,22.94,28.73,16.54,27.27,36.93
1600014C10Rik,60.67,61.26,67.19,53.84,87.1,57.27,71.87,42.23,95.33,69.79,77.74,6.75,11.06,5.02,6.83,12.99,50.38,43.4,43.62,39.44,79.72,63.28,81.15,62.23
1700010I14Rik,5.97,2.68,7.53,4.34,2.78,12.19,10.87,3.5,9.72,7.77,1.13,0.25,0,0,0.59,0,2.07,1.96,3.27,0,0,0,0,0
1700012B09Rik,0,0,0,0.62,0,0,0,0,1.15,0,0,11.34,54.98,55.17,0,0,0,16.58,0,0.89,0,0,9.28,1.17
1700017B05Rik,36.24,34.54,41.51,54.57,66.1,64.89,22.99,25.24,62.84,29.03,38.87,284.65,298.83,318.31,82.47,147.38,77.15,201.64,172.98,121.83,77.83,117.42,88.2,76.11
1700020L24Rik,47.89,46.32,54.06,0.73,1.54,1.3,2.11,12.37,2.78,0.91,3.32,1.16,0,0,6.65,0.62,0,0,3.11,2.66,0,0,0,0
1700037H04Rik,37.22,34.89,49.38,14.3,12.42,17.16,8.49,9.87,8.83,21.56,13.94,3.24,9.38,3.32,15.13,6.51,7.96,12.19,13.35,9.3,8.8,6.84,13.11,7.31
1700066M21Rik,4.34,2.68,2.19,2.06,2.03,0.55,0.79,3.4,2.33,6.73,2.27,0,0,0,0,0.75,2.56,0,1.87,1.12,0,0,1.17,0.15
1700094D03Rik,1.64,1.29,0.71,2.05,4.75,1.8,1.44,1.31,2.26,0,3.41,0.79,0.5,0.13,0.79,0.16,2.83,3.61,1.01,0.95,1.24,3.45,0.99,3.96
